path,kind,status,file_count,size_bytes,summary_files,config_files,representative_image_count,raw_media_file_count,raw_media_size_bytes,runtime_referenced,regenerable,retention_value
out/object_anchor_full99/replacement_feasibility/apriltag_intrinsic_diagnostics/20260726_151502,experiment_output,completed_diagnostic,13,2670956,out/object_anchor_full99/replacement_feasibility/apriltag_intrinsic_diagnostics/20260726_151502/apriltag_frame_summary.csv;out/object_anchor_full99/replacement_feasibility/apriltag_intrinsic_diagnostics/20260726_151502/apriltag_intrinsic_summary.json;out/object_anchor_full99/replacement_feasibility/apriltag_intrinsic_diagnostics/20260726_151502/diagnostic_summary.json;out/object_anchor_full99/replacement_feasibility/apriltag_intrinsic_diagnostics/20260726_151502/pose_cluster_summary.json;out/object_anchor_full99/replacement_feasibility/apriltag_intrinsic_diagnostics/20260726_151502/README.md,,4,4,1102032,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/snapshots/20260726_000728,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/snapshots/20260726_074526,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_pilot,experiment_output,successful,180,115975975,out/object_anchor_pilot/comparison_summary.json;out/object_anchor_pilot/baseline/summary.json;out/object_anchor_pilot/pilot/summary.json;out/object_anchor_pilot/regression_baseline/summary.json;out/object_anchor_pilot/regression_pilot/summary.json;out/object_anchor_pilot/live_world/20260724_153106/object_anchor_world_summary.json;out/object_anchor_pilot/live_world/20260724_153106/object_anchor_world_summary_final.json,,165,165,115746975,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_pilot/live_world/20260724_153106,experiment_output,successful,94,24129006,out/object_anchor_pilot/live_world/20260724_153106/object_anchor_world_summary.json;out/object_anchor_pilot/live_world/20260724_153106/object_anchor_world_summary_final.json,,91,91,23971952,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_preview,experiment_output,incomplete,23,4863006,out/object_anchor_preview/20260728_112845/preview_summary.json;out/object_anchor_preview/20260728_112845/README.md;out/object_anchor_preview/20260728_113229/preview_summary.json;out/object_anchor_preview/20260728_113229/README.md;out/object_anchor_preview/20260728_120922/preview_summary.json;out/object_anchor_preview/20260728_120922/README.md;out/object_anchor_preview/20260729_123354/preview_summary.json;out/object_anchor_preview/20260729_123354/README.md,,8,8,2369873,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_preview/20260728_112845,experiment_output,successful,6,896767,out/object_anchor_preview/20260728_112845/preview_summary.json;out/object_anchor_preview/20260728_112845/README.md,,2,2,602682,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_preview/20260728_113229,experiment_output,successful,7,1189831,out/object_anchor_preview/20260728_113229/preview_summary.json;out/object_anchor_preview/20260728_113229/README.md,,3,3,901082,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_preview/20260728_120922,experiment_output,successful,7,2766876,out/object_anchor_preview/20260728_120922/preview_summary.json;out/object_anchor_preview/20260728_120922/README.md,,3,3,866109,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_preview/20260729_123354,experiment_output,incomplete,3,9532,out/object_anchor_preview/20260729_123354/preview_summary.json;out/object_anchor_preview/20260729_123354/README.md,,0,0,0,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_valid99,experiment_output,unknown,107,29735652,out/object_anchor_valid99/validation_summary.json,,105,105,29734652,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world,experiment_output,successful,950,260533383,out/object_anchor_world/20260722_144211/object_anchor_world_summary.json;out/object_anchor_world/20260722_144211/object_anchor_world_summary_final.json;out/object_anchor_world/20260722_145243/object_anchor_world_summary.json;out/object_anchor_world/20260722_145243/object_anchor_world_summary_final.json;out/object_anchor_world/20260722_145343/object_anchor_world_summary.json;out/object_anchor_world/20260722_145343/object_anchor_world_summary_final.json;out/object_anchor_world/20260722_145438/object_anchor_world_summary.json;out/object_anchor_world/20260722_145438/object_anchor_world_summary_final.json;out/object_anchor_world/20260722_153154/object_anchor_world_summary.json;out/object_anchor_world/20260722_153154/object_anchor_world_summary_final.json;out/object_anchor_world/20260724_131350/object_anchor_world_summary.json;out/object_anchor_world/20260724_131350/object_anchor_world_summary_final.json;out/object_anchor_world/20260726_073433/object_anchor_world_summary.json;out/object_anchor_world/20260726_073433/object_anchor_world_summary_final.json;out/object_anchor_world/20260726_074423/object_anchor_world_summary.json;out/object_anchor_world/20260726_074423/object_anchor_world_summary_final.json;out/object_anchor_world/20260726_083615/object_anchor_world_summary.json;out/object_anchor_world/20260726_083615/object_anchor_world_summary_final.json;out/object_anchor_world/20260726_151928/object_anchor_world_summary.json;out/object_anchor_world/20260726_151928/object_anchor_world_summary_final.json,,908,908,254928173,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260722_144211,experiment_output,successful,21,4831635,out/object_anchor_world/20260722_144211/object_anchor_world_summary.json;out/object_anchor_world/20260722_144211/object_anchor_world_summary_final.json,,18,18,4750739,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260722_145243,experiment_output,successful,99,26055322,out/object_anchor_world/20260722_145243/object_anchor_world_summary.json;out/object_anchor_world/20260722_145243/object_anchor_world_summary_final.json,,96,96,25877233,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260722_145343,experiment_output,successful,27,6594429,out/object_anchor_world/20260722_145343/object_anchor_world_summary.json;out/object_anchor_world/20260722_145343/object_anchor_world_summary_final.json,,24,24,6509090,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260722_145438,experiment_output,successful,27,6602274,out/object_anchor_world/20260722_145438/object_anchor_world_summary.json;out/object_anchor_world/20260722_145438/object_anchor_world_summary_final.json,,24,24,6513942,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260722_153154,experiment_output,successful,125,37734229,out/object_anchor_world/20260722_153154/object_anchor_world_summary.json;out/object_anchor_world/20260722_153154/object_anchor_world_summary_final.json,,122,122,37570164,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260724_131350,experiment_output,successful,73,17946771,out/object_anchor_world/20260724_131350/object_anchor_world_summary.json;out/object_anchor_world/20260724_131350/object_anchor_world_summary_final.json,,70,70,17820201,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260726_073433,experiment_output,successful,97,27700572,out/object_anchor_world/20260726_073433/object_anchor_world_summary.json;out/object_anchor_world/20260726_073433/object_anchor_world_summary_final.json,,94,94,27554245,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260726_074423,experiment_output,successful,9,1610759,out/object_anchor_world/20260726_074423/object_anchor_world_summary.json;out/object_anchor_world/20260726_074423/object_anchor_world_summary_final.json,,6,6,1554260,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260726_083615,experiment_output,successful,195,53506331,out/object_anchor_world/20260726_083615/object_anchor_world_summary.json;out/object_anchor_world/20260726_083615/object_anchor_world_summary_final.json,,192,192,53208340,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260726_151928,experiment_output,successful,5,847223,out/object_anchor_world/20260726_151928/object_anchor_world_summary.json;out/object_anchor_world/20260726_151928/object_anchor_world_summary_final.json,,2,2,557868,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260728_112845,experiment_output,successful,11,3132644,out/object_anchor_world/20260728_112845/object_anchor_world_summary.json;out/object_anchor_world/20260728_112845/object_anchor_world_summary_final.json,,8,8,2320274,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260728_113229,experiment_output,successful,3,1087897,out/object_anchor_world/20260728_113229/object_anchor_world_summary.json;out/object_anchor_world/20260728_113229/object_anchor_world_summary_final.json,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260728_120922,experiment_output,successful,255,72863398,out/object_anchor_world/20260728_120922/object_anchor_world_summary.json;out/object_anchor_world/20260728_120922/object_anchor_world_summary_final.json,,252,252,70691817,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_world/20260729_123354,experiment_output,successful,3,19899,out/object_anchor_world/20260729_123354/object_anchor_world_summary.json;out/object_anchor_world/20260729_123354/object_anchor_world_summary_final.json,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots,experiment_output,unknown,12,9780811,,,12,12,9780811,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260710_180655,experiment_output,unknown,4,3234806,,,4,4,3234806,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260710_180835,experiment_output,unknown,8,6546005,,,8,8,6546005,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260722_144212,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260722_145245,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260722_145345,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260722_145439,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260722_153156,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260724_131352,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260724_153107,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260726_073435,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260726_074425,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260726_083616,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260726_151930,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260728_112847,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260728_113230,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260728_120923,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/snapshots/20260729_123355,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,medium
out/tissue_box_front_24_sanitized,experiment_output,unknown,76,105498617,,,49,49,105494425,no,code yes; live/training inputs and hardware may be required,medium
out/tissue_box_front_only_val_predictions,experiment_output,unknown,6,13478620,,,6,6,13478620,no,code yes; live/training inputs and hardware may be required,medium
out/tissue_box_front_only_val_predictions_ids,experiment_output,unknown,7,13807280,,,7,7,13807280,no,code yes; live/training inputs and hardware may be required,medium
out/tissue_box_front_only_val_predictions_max1,experiment_output,unknown,7,13692515,,,7,7,13692515,no,code yes; live/training inputs and hardware may be required,medium
out/tissue_box_init_sanitized,experiment_output,unknown,21,28531193,,,12,12,28525937,no,code yes; live/training inputs and hardware may be required,medium
runs/object_anchor_pose,training_run,completed_training,70,41840618,,runs/object_anchor_pose/tissue_box_01_front_only_orbbec_full99/args.yaml;runs/object_anchor_pose/tissue_box_01_front_only_orbbec_pilot/args.yaml;runs/object_anchor_pose/tissue_box_01_front_only_pilot/args.yaml,58,58,8050385,no,code yes; live/training inputs and hardware may be required,medium
